W0923 07:37:08.362000 6961 torch/distributed/run.py:874] 
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] *****************************************
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:  28%|██▊       | 110/399 [00:00<00:00, 1047.23it/s]Loading weights:  30%|██▉       | 118/399 [00:00<00:00, 1139.70it/s]Loading weights:  54%|█████▍    | 215/399 [00:00<00:00, 1015.05it/s]Loading weights:  58%|█████▊    | 232/399 [00:00<00:00, 1102.18it/s]Loading weights:  85%|████████▍ | 339/399 [00:00<00:00, 1106.78it/s]Loading weights:  89%|████████▉ | 355/399 [00:00<00:00, 1158.71it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 1129.79it/s]
Loading weights: 100%|██████████| 399/399 [00:00<00:00, 1181.25it/s]
08:05:34 step 1380/3020 loss=0.7452 acc=0.875 records/s=13.5
08:05:55 step 1400/3020 loss=0.6876 acc=0.750 records/s=13.6
08:06:17 step 1420/3020 loss=0.8071 acc=0.875 records/s=13.6
08:06:39 step 1440/3020 loss=0.2590 acc=1.000 records/s=13.6
08:07:01 step 1460/3020 loss=1.6717 acc=0.750 records/s=13.6
08:07:23 step 1480/3020 loss=1.9795 acc=0.500 records/s=13.6
08:07:44 step 1500/3020 loss=0.4248 acc=0.875 records/s=13.6
08:08:06 step 1520/3020 loss=0.5609 acc=0.750 records/s=13.6
08:08:27 step 1540/3020 loss=1.0979 acc=0.875 records/s=13.7
08:08:49 step 1560/3020 loss=0.4933 acc=0.875 records/s=13.7
08:09:10 step 1580/3020 loss=0.4219 acc=1.000 records/s=13.7
08:09:32 step 1600/3020 loss=1.0636 acc=0.500 records/s=13.7
08:09:53 step 1620/3020 loss=1.0933 acc=0.625 records/s=13.7
08:10:15 step 1640/3020 loss=0.7694 acc=0.625 records/s=13.7
08:10:37 step 1660/3020 loss=0.5463 acc=0.875 records/s=13.7
08:10:58 step 1680/3020 loss=0.8836 acc=0.625 records/s=13.8
08:11:20 step 1700/3020 loss=2.1678 acc=0.625 records/s=13.8
08:11:41 step 1720/3020 loss=0.5531 acc=0.875 records/s=13.8
08:12:03 step 1740/3020 loss=0.3820 acc=0.750 records/s=13.8
08:12:25 step 1760/3020 loss=0.8799 acc=0.625 records/s=13.8
08:12:47 step 1780/3020 loss=1.5147 acc=0.500 records/s=13.8
08:13:08 step 1800/3020 loss=1.2258 acc=0.750 records/s=13.8
08:13:30 step 1820/3020 loss=0.7342 acc=0.750 records/s=13.8
08:13:52 step 1840/3020 loss=0.7074 acc=0.625 records/s=13.8
08:14:13 step 1860/3020 loss=1.3594 acc=0.625 records/s=13.8
08:14:35 step 1880/3020 loss=0.9074 acc=0.750 records/s=13.9
08:14:57 step 1900/3020 loss=1.0446 acc=0.750 records/s=13.9
08:15:19 step 1920/3020 loss=0.2777 acc=1.000 records/s=13.9
08:15:40 step 1940/3020 loss=0.8374 acc=0.750 records/s=13.9
