W0923 06:42:33.297000 1926 torch/distributed/run.py:874] 
W0923 06:42:33.297000 1926 torch/distributed/run.py:874] *****************************************
W0923 06:42:33.297000 1926 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 06:42:33.297000 1926 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:  31%|███       | 96/311 [00:00<00:00, 940.70it/s]Loading weights:  52%|█████▏    | 161/311 [00:00<00:00, 1590.20it/s]Loading weights:  61%|██████▏   | 191/311 [00:00<00:00, 933.36it/s]Loading weights:  92%|█████████▏| 285/311 [00:00<00:00, 927.40it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 957.47it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 1228.59it/s]
06:54:11 step 1420/3020 loss=1.1723 acc=0.625 records/s=34.4
06:54:20 step 1440/3020 loss=0.4691 acc=0.750 records/s=34.4
06:54:29 step 1460/3020 loss=1.5622 acc=0.500 records/s=34.4
06:54:38 step 1480/3020 loss=2.0588 acc=0.250 records/s=34.5
06:54:47 step 1500/3020 loss=0.2840 acc=1.000 records/s=34.5
06:54:56 step 1520/3020 loss=0.4896 acc=0.875 records/s=34.5
06:55:05 step 1540/3020 loss=1.0821 acc=0.875 records/s=34.5
06:55:14 step 1560/3020 loss=0.6150 acc=0.750 records/s=34.5
06:55:22 step 1580/3020 loss=0.4029 acc=1.000 records/s=34.5
06:55:31 step 1600/3020 loss=1.0572 acc=0.750 records/s=34.6
06:55:45 step 1620/3020 loss=1.2678 acc=0.500 records/s=34.4
06:55:57 step 1640/3020 loss=0.7784 acc=0.750 records/s=34.2
06:56:08 step 1660/3020 loss=0.7995 acc=0.875 records/s=34.2
06:56:20 step 1680/3020 loss=1.2133 acc=0.625 records/s=34.0
06:56:32 step 1700/3020 loss=2.1422 acc=0.500 records/s=34.0
06:56:42 step 1720/3020 loss=0.6403 acc=0.750 records/s=33.9
06:56:52 step 1740/3020 loss=0.4258 acc=0.875 records/s=33.9
06:57:01 step 1760/3020 loss=1.0194 acc=0.625 records/s=33.9
06:57:10 step 1780/3020 loss=1.5436 acc=0.375 records/s=33.9
06:57:19 step 1800/3020 loss=1.1034 acc=0.750 records/s=34.0
06:57:29 step 1820/3020 loss=0.7194 acc=0.750 records/s=33.9
06:57:39 step 1840/3020 loss=1.0805 acc=0.500 records/s=33.9
06:57:49 step 1860/3020 loss=1.3013 acc=0.375 records/s=33.9
06:57:58 step 1880/3020 loss=0.9302 acc=0.625 records/s=33.9
06:58:07 step 1900/3020 loss=0.9555 acc=0.625 records/s=33.9
06:58:17 step 1920/3020 loss=0.4179 acc=0.875 records/s=33.9
06:58:26 step 1940/3020 loss=1.2692 acc=0.625 records/s=33.9
06:58:35 step 1960/3020 loss=1.1733 acc=0.625 records/s=33.9
06:58:45 step 1980/3020 loss=1.3364 acc=0.625 records/s=33.9
06:58:54 step 2000/3020 loss=0.9107 acc=0.750 records/s=33.9
06:59:03 step 2020/3020 loss=1.4992 acc=0.375 records/s=33.9
06:59:12 step 2040/3020 loss=0.4555 acc=0.875 records/s=33.9
06:59:21 step 2060/3020 loss=1.0740 acc=0.625 records/s=33.9
06:59:30 step 2080/3020 loss=1.2929 acc=0.625 records/s=34.0
06:59:40 step 2100/3020 loss=1.4150 acc=0.625 records/s=34.0
06:59:49 step 2120/3020 loss=1.5263 acc=0.750 records/s=34.0
06:59:58 step 2140/3020 loss=0.3820 acc=0.875 records/s=34.0
07:00:07 step 2160/3020 loss=1.1840 acc=0.625 records/s=34.0
07:00:16 step 2180/3020 loss=0.7800 acc=0.750 records/s=34.0
07:00:24 step 2200/3020 loss=1.1803 acc=0.750 records/s=34.0
07:00:33 step 2220/3020 loss=1.3026 acc=0.500 records/s=34.1
07:00:42 step 2240/3020 loss=1.3104 acc=0.500 records/s=34.1
07:00:52 step 2260/3020 loss=2.1681 acc=0.250 records/s=34.1
07:01:04 step 2280/3020 loss=1.3940 acc=0.500 records/s=34.0
07:01:12 step 2300/3020 loss=0.5599 acc=0.875 records/s=34.0
07:01:22 step 2320/3020 loss=1.9203 acc=0.375 records/s=34.0
07:01:36 step 2340/3020 loss=0.5717 acc=0.750 records/s=33.9
07:01:45 step 2360/3020 loss=0.8653 acc=0.875 records/s=33.9
07:01:53 step 2380/3020 loss=0.5545 acc=0.750 records/s=33.9
07:02:02 step 2400/3020 loss=1.7327 acc=0.625 records/s=33.9
07:02:11 step 2420/3020 loss=1.9970 acc=0.250 records/s=34.0
07:02:20 step 2440/3020 loss=1.8323 acc=0.625 records/s=34.0
07:02:28 step 2460/3020 loss=0.7080 acc=0.625 records/s=34.0
07:02:37 step 2480/3020 loss=1.3241 acc=0.500 records/s=34.0
07:02:45 step 2500/3020 loss=2.1204 acc=0.500 records/s=34.0
07:02:54 step 2520/3020 loss=0.8704 acc=0.625 records/s=34.1
07:03:03 step 2540/3020 loss=0.7827 acc=0.875 records/s=34.1
07:03:12 step 2560/3020 loss=0.8723 acc=0.750 records/s=34.1
07:03:21 step 2580/3020 loss=0.8792 acc=0.750 records/s=34.1
07:03:29 step 2600/3020 loss=1.7667 acc=0.625 records/s=34.1
07:03:38 step 2620/3020 loss=1.2482 acc=0.625 records/s=34.1
07:03:47 step 2640/3020 loss=1.1812 acc=0.625 records/s=34.2
07:03:56 step 2660/3020 loss=0.4884 acc=0.875 records/s=34.2
07:04:05 step 2680/3020 loss=0.7309 acc=0.750 records/s=34.2
07:04:13 step 2700/3020 loss=0.7910 acc=0.500 records/s=34.2
07:04:22 step 2720/3020 loss=0.8516 acc=0.625 records/s=34.2
07:04:31 step 2740/3020 loss=0.9404 acc=0.875 records/s=34.2
07:04:40 step 2760/3020 loss=0.6522 acc=0.875 records/s=34.2
07:04:49 step 2780/3020 loss=0.8573 acc=0.625 records/s=34.2
07:04:58 step 2800/3020 loss=0.6923 acc=0.625 records/s=34.3
07:05:06 step 2820/3020 loss=0.8287 acc=0.625 records/s=34.3
07:05:16 step 2840/3020 loss=0.6049 acc=0.750 records/s=34.3
07:05:25 step 2860/3020 loss=0.3647 acc=0.875 records/s=34.3
07:05:33 step 2880/3020 loss=0.3531 acc=1.000 records/s=34.3
