W0923 09:14:10.771000 10042 torch/distributed/run.py:874] 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8864.50it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8719.85it/s]
09:37:55 step 1500/3020 loss=1.3939 acc=0.375 records/s=17.2
09:38:14 step 1520/3020 loss=1.1827 acc=0.625 records/s=17.2
09:38:32 step 1540/3020 loss=1.1553 acc=0.750 records/s=17.2
09:38:50 step 1560/3020 loss=1.8588 acc=0.375 records/s=17.2
09:39:09 step 1580/3020 loss=1.3919 acc=0.500 records/s=17.2
09:39:27 step 1600/3020 loss=1.2472 acc=0.500 records/s=17.2
09:39:45 step 1620/3020 loss=1.2693 acc=0.500 records/s=17.2
09:40:03 step 1640/3020 loss=0.9598 acc=0.750 records/s=17.2
09:40:22 step 1660/3020 loss=1.8585 acc=0.500 records/s=17.2
09:40:41 step 1680/3020 loss=2.2148 acc=0.375 records/s=17.2
09:40:59 step 1700/3020 loss=1.7024 acc=0.250 records/s=17.2
09:41:17 step 1720/3020 loss=1.0603 acc=0.625 records/s=17.2
09:41:35 step 1740/3020 loss=0.9839 acc=0.750 records/s=17.2
09:41:54 step 1760/3020 loss=1.4129 acc=0.375 records/s=17.2
09:42:12 step 1780/3020 loss=2.3040 acc=0.375 records/s=17.2
09:42:30 step 1800/3020 loss=1.0955 acc=0.625 records/s=17.2
09:42:48 step 1820/3020 loss=1.6942 acc=0.500 records/s=17.2
09:43:07 step 1840/3020 loss=1.8128 acc=0.500 records/s=17.2
09:43:25 step 1860/3020 loss=1.0693 acc=0.750 records/s=17.2
09:43:43 step 1880/3020 loss=1.9565 acc=0.375 records/s=17.2
09:44:01 step 1900/3020 loss=1.8547 acc=0.250 records/s=17.2
09:44:20 step 1920/3020 loss=1.5035 acc=0.625 records/s=17.2
09:44:38 step 1940/3020 loss=1.5194 acc=0.375 records/s=17.2
09:44:56 step 1960/3020 loss=1.8422 acc=0.250 records/s=17.2
09:45:14 step 1980/3020 loss=1.8900 acc=0.375 records/s=17.2
09:45:33 step 2000/3020 loss=0.4321 acc=0.875 records/s=17.2
09:45:51 step 2020/3020 loss=0.9808 acc=0.625 records/s=17.2
09:46:09 step 2040/3020 loss=1.2187 acc=0.625 records/s=17.3
09:46:27 step 2060/3020 loss=0.8471 acc=0.750 records/s=17.3
09:46:45 step 2080/3020 loss=0.9286 acc=0.500 records/s=17.3
09:47:03 step 2100/3020 loss=1.3669 acc=0.500 records/s=17.3
09:47:21 step 2120/3020 loss=1.2335 acc=0.625 records/s=17.3
09:47:39 step 2140/3020 loss=1.4471 acc=0.625 records/s=17.3
09:47:58 step 2160/3020 loss=2.0935 acc=0.250 records/s=17.3
09:48:16 step 2180/3020 loss=0.8977 acc=0.750 records/s=17.3
